time_ms,reading,bpm,leads_off
3810897,492,0,0
3810949,504,0,0
3811001,535,0,0
3811053,581,0,0
3811105,496,0,0
3811158,492,0,0
3811211,489,0,0
3811262,490,0,0
3811315,484,0,0
3811367,506,0,0
3811459,632,0,0
3811511,504,0,0
3811563,485,0,0
3811615,506,0,0
3811667,550,0,0
3811719,564,0,0
3811771,487,0,0
3811823,496,0,0
3811876,504,0,0
3811928,503,0,0
3811981,495,0,0
3812034,508,0,0
3812087,512,0,0
3812139,803,0,0
3812192,499,0,0
3812245,495,0,0
3812341,579,0,0
3812393,567,0,0
3812447,459,0,0
3812503,484,0,0
3812557,503,0,0
3812610,495,0,0
3812664,486,0,0
3812717,486,0,0
3812770,508,0,0
3812824,516,0,0
3812877,525,0,0
3812931,493,0,0
3812985,830,0,0
3813039,507,0,0
3813093,515,0,0
3813148,530,0,0
3813242,530,0,0
3813295,468,0,0
3813349,476,0,0
3813402,495,0,0
3813456,506,0,0
3813510,498,0,0
3813565,486,0,0
3813618,494,0,0
3813672,515,0,0
3813726,513,0,0
3813780,507,0,0
3813834,517,0,0
3813889,527,0,0
3813943,694,0,0
3813998,494,0,0
3814052,515,0,0
3814148,549,0,0
3814238,511,0,0
3814279,471,0,0
3814318,482,0,0
3814358,508,0,0
3814398,481,0,0
3814439,506,0,0
3814477,501,0,0
3814516,489,0,0
3814556,513,0,0
3814595,504,0,0
3814634,504,0,0
3814675,518,0,0
3814715,498,0,0
3814756,864,0,0
3814797,496,0,0
3814879,513,0,0
3814919,541,0,0
3814959,579,0,0
3814999,553,0,0
3815038,496,0,0
3815078,475,0,0
3815119,486,0,0
3815161,496,0,0
3815203,497,0,0
3815244,495,0,0
3815284,494,0,0
3815325,511,0,0
3815365,511,0,0
3815405,513,0,0
3815447,488,0,0
3815487,943,0,0
3815572,515,0,0
3815612,503,0,0
3815654,543,0,0
3815695,568,0,0
3815735,570,0,0
3815776,485,0,0
3815817,467,0,0
3815858,482,0,0
3815902,486,0,0
3815945,483,0,0
3815985,494,0,0
3816029,489,0,0
3816069,503,0,0
3816113,497,0,0
3816155,521,0,0
3816196,506,0,0
3816280,494,0,0
3816323,675,0,0
3816364,486,0,0
3816406,523,0,0
3816448,513,0,0
3816490,559,0,0
3816533,579,0,0
3816575,542,0,0
3816617,466,0,0
3816660,478,0,0
3816702,487,0,0
3816746,484,0,0
3816789,501,0,0
3816833,482,0,0
3816877,490,0,0
3816919,498,0,0
3817004,513,0,0
3817046,494,0,0
3817089,527,0,0
3817133,505,0,0
3817175,503,0,0
3817219,451,0,0
3817263,490,0,0
3817307,521,0,0
3817351,522,0,0
3817394,559,0,0
3817437,603,0,0
3817481,498,0,0
